age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,label
32,0,1,2,0,0,1,0,5,8,138,1,-1,0,0
53,9,0,1,0,989,1,0,5,8,812,1,-1,0,0
57,1,1,0,0,249,1,0,5,8,164,1,-1,0,0
33,7,1,1,0,790,1,0,5,8,391,1,-1,0,0
49,1,1,3,0,154,1,0,5,8,357,1,-1,0,0
51,4,1,2,0,6530,1,0,5,8,91,1,-1,0,0
60,5,1,2,0,100,0,0,5,8,528,1,-1,0,0
59,4,0,2,0,59,1,0,5,8,273,1,-1,0,0
55,9,1,1,0,1205,1,0,5,8,158,2,-1,0,0
35,1,2,1,0,12223,1,1,5,8,177,1,-1,0,0
57,1,1,1,0,5935,1,1,5,8,258,1,-1,0,0
31,7,1,1,0,25,1,1,5,8,172,1,-1,0,0
54,4,1,1,0,282,1,1,5,8,154,1,-1,0,0
55,1,1,0,0,23,1,0,5,8,291,1,-1,0,0
43,9,1,1,0,1937,1,0,5,8,181,1,-1,0,0
53,9,1,1,0,384,1,0,5,8,176,1,-1,0,0
44,1,1,1,0,582,0,1,5,8,211,1,-1,0,0
55,7,0,1,0,91,0,0,5,8,349,1,-1,0,0
49,7,0,1,0,0,1,1,5,8,272,1,-1,0,0
55,7,0,1,1,1,1,0,5,8,208,1,-1,0,0
45,0,2,1,0,206,1,0,5,8,193,1,-1,0,0
47,7,0,1,0,164,0,0,5,8,212,1,-1,0,0
42,9,2,1,0,690,1,0,5,8,20,1,-1,0,0
59,0,1,1,0,2343,1,0,5,8,1042,1,-1,0,1
46,6,1,2,0,137,1,1,5,8,246,1,-1,0,0
51,1,1,0,0,173,1,0,5,8,529,2,-1,0,0
56,0,1,1,0,45,0,0,5,8,1467,1,-1,0,1
41,9,1,1,0,1270,1,0,5,8,1389,1,-1,0,1
46,4,0,1,0,16,1,1,5,8,188,2,-1,0,0
57,5,1,1,0,486,1,0,5,8,180,2,-1,0,0
42,4,2,1,0,50,0,0,5,8,48,1,-1,0,0
30,9,1,1,0,152,1,1,5,8,213,2,-1,0,0
60,0,1,1,0,290,1,0,5,8,583,1,-1,0,0
60,1,1,3,0,54,1,0,5,8,221,1,-1,0,0
57,2,0,1,0,-37,0,0,5,8,173,1,-1,0,0
36,4,1,2,0,101,1,1,5,8,426,1,-1,0,0
55,1,1,1,0,383,0,0,5,8,287,1,-1,0,0
60,5,1,2,0,81,1,0,5,8,101,1,-1,0,0
39,9,1,1,0,0,1,0,5,8,203,1,-1,0,0
46,4,1,2,0,229,1,0,5,8,197,1,-1,0,0
44,1,1,1,0,-674,1,0,5,8,257,1,-1,0,0
53,1,1,0,0,90,0,0,5,8,124,1,-1,0,0
52,1,1,0,0,128,1,0,5,8,229,1,-1,0,0
59,1,1,0,0,179,1,0,5,8,55,3,-1,0,0
27,9,2,2,0,0,1,0,5,8,400,1,-1,0,0
44,1,1,1,0,54,1,0,5,8,197,1,-1,0,0
47,9,1,2,0,151,1,0,5,8,190,1,-1,0,0
34,0,1,1,0,61,0,1,5,8,21,1,-1,0,0
59,5,2,1,0,30,1,0,5,8,514,1,-1,0,0
45,4,1,2,0,523,1,0,5,8,849,2,-1,0,0
29,7,0,1,0,31,1,0,5,8,194,1,-1,0,0
46,9,0,1,0,79,0,0,5,8,144,1,-1,0,0
56,6,1,0,0,-34,1,1,5,8,212,2,-1,0,0
36,1,1,0,0,448,1,0,5,8,286,1,-1,0,0
59,5,0,0,0,81,1,0,5,8,107,1,-1,0,0
44,1,1,1,0,144,1,0,5,8,247,2,-1,0,0
41,0,1,1,0,351,1,0,5,8,518,1,-1,0,0
33,4,2,2,0,-67,1,0,5,8,364,1,-1,0,0
59,4,0,2,0,262,0,0,5,8,178,1,-1,0,0
57,9,1,0,0,0,0,0,5,8,98,1,-1,0,0
56,9,0,3,0,56,1,0,5,8,439,1,-1,0,0
51,1,1,1,0,26,1,0,5,8,79,1,-1,0,0
34,0,1,3,0,3,1,0,5,8,120,3,-1,0,0
43,7,1,1,0,41,1,1,5,8,127,2,-1,0,0
52,9,1,2,0,7,0,1,5,8,175,1,-1,0,0
33,9,2,1,0,105,1,0,5,8,262,2,-1,0,0
29,0,2,1,0,818,1,1,5,8,61,1,-1,0,0
34,7,1,1,0,-16,1,1,5,8,78,1,-1,0,0
31,1,1,1,0,0,1,0,5,8,143,1,-1,0,0
55,7,1,1,0,2476,1,0,5,8,579,1,-1,0,1
55,4,1,3,0,1185,0,0,5,8,677,1,-1,0,0
32,0,2,1,0,217,1,0,5,8,345,1,-1,0,0
38,9,2,1,0,1685,1,0,5,8,185,1,-1,0,0
55,0,2,1,0,802,1,1,5,8,100,2,-1,0,0
28,10,2,2,0,0,1,0,5,8,125,2,-1,0,0
23,1,1,1,0,94,1,0,5,8,193,1,-1,0,0
32,9,2,1,0,0,1,0,5,8,136,1,-1,0,0
43,7,2,3,0,0,0,0,5,8,73,1,-1,0,0
32,1,1,1,0,517,1,0,5,8,528,1,-1,0,0
46,1,1,1,0,265,1,0,5,8,541,1,-1,0,0
53,3,0,0,0,947,1,0,5,8,163,1,-1,0,0
34,6,2,1,0,3,1,0,5,8,301,1,-1,0,0
57,10,1,2,0,42,0,0,5,8,46,1,-1,0,0
37,1,1,1,0,37,1,0,5,8,204,1,-1,0,0
59,1,1,1,0,57,1,0,5,8,98,1,-1,0,0
33,7,1,1,0,22,1,0,5,8,71,1,-1,0,0
56,1,0,0,0,8,1,0,5,8,157,2,-1,0,0
48,10,1,1,0,293,1,0,5,8,243,1,-1,0,0
43,7,1,0,0,3,1,0,5,8,186,2,-1,0,0
54,1,1,0,0,348,1,0,5,8,579,2,-1,0,0
51,1,1,3,0,-19,1,0,5,8,163,2,-1,0,0
26,8,2,1,0,0,1,0,5,8,610,2,-1,0,0
40,4,1,2,0,-4,1,0,5,8,2033,1,-1,0,0
39,4,1,1,0,18,1,0,5,8,85,1,-1,0,0
50,9,1,0,0,139,0,0,5,8,114,2,-1,0,0
41,7,1,1,0,0,1,0,5,8,114,2,-1,0,0
51,1,1,3,0,1883,1,0,5,8,57,1,-1,0,0
60,5,0,1,0,216,1,0,5,8,238,1,-1,0,0
52,1,1,1,0,782,1,0,5,8,93,3,-1,0,0
48,1,1,1,0,904,1,0,5,8,128,2,-1,0,0
48,7,1,3,0,1705,1,0,5,8,107,1,-1,0,0
39,9,2,2,0,47,1,0,5,8,181,1,-1,0,0
47,7,2,1,0,176,1,0,5,8,303,2,-1,0,0
40,1,1,1,0,1225,1,0,5,8,558,5,-1,0,0
45,9,1,1,0,86,1,0,5,8,270,1,-1,0,0
26,0,2,1,0,82,1,0,5,8,228,1,-1,0,0
52,4,1,2,0,271,1,0,5,8,99,1,-1,0,0
54,9,1,1,0,1378,1,0,5,8,240,1,-1,0,0
54,0,1,2,0,184,0,0,5,8,673,2,-1,0,1
50,1,1,0,0,0,0,0,5,8,233,3,-1,0,0
35,1,1,1,0,0,1,0,5,8,1056,1,-1,0,0
44,7,1,1,0,1357,1,1,5,8,250,1,-1,0,0
53,2,1,3,0,19,1,0,5,8,252,1,-1,0,0
35,5,2,0,0,434,0,0,5,8,138,1,-1,0,0
60,0,0,1,0,92,1,0,5,8,130,1,-1,0,0
53,0,0,1,0,1151,1,0,5,8,412,1,-1,0,0
48,10,1,1,0,41,1,0,5,8,179,2,-1,0,0
34,9,1,1,0,51,1,0,5,8,19,2,-1,0,0
54,7,1,1,0,214,1,0,5,8,458,2,-1,0,0
51,4,1,1,0,1161,1,0,5,8,717,1,-1,0,0
31,7,1,2,0,37,1,0,5,8,313,1,-1,0,0
35,9,0,1,0,787,1,0,5,8,683,2,-1,0,0
35,7,1,1,0,59,1,0,5,8,1077,1,-1,0,0
38,9,1,1,0,253,1,0,5,8,416,1,-1,0,0
36,0,1,2,0,211,1,0,5,8,146,2,-1,0,0
58,5,1,0,0,235,1,0,5,8,167,1,-1,0,0
40,7,0,3,0,4384,1,0,5,8,315,1,-1,0,0
54,4,1,1,0,4080,0,0,5,8,140,1,-1,0,0
34,1,2,1,0,53,1,1,5,8,346,1,-1,0,0
31,4,2,2,0,0,1,0,5,8,562,1,-1,0,0
51,5,1,1,0,2127,1,0,5,8,172,1,-1,0,0
33,4,1,2,0,377,1,0,5,8,217,1,-1,0,0
55,4,1,2,0,73,1,0,5,8,142,2,-1,0,0
42,0,1,1,0,445,1,0,5,8,67,1,-1,0,0
34,1,1,1,0,243,1,0,5,8,291,1,-1,0,0
33,1,2,1,0,307,1,0,5,8,309,2,-1,0,0
38,7,1,1,0,155,1,0,5,8,248,1,-1,0,0
50,9,0,2,0,173,0,1,5,8,98,1,-1,0,0
43,4,1,2,0,400,1,0,5,8,256,1,-1,0,0
61,1,0,0,0,1428,1,0,5,8,82,2,-1,0,0
47,0,1,1,0,219,1,0,5,8,577,1,-1,0,0
48,6,1,2,0,7,1,0,5,8,286,1,-1,0,0
44,1,1,1,0,575,1,0,5,8,477,1,-1,0,0
35,8,2,3,0,298,1,0,5,8,611,2,-1,0,0
35,7,1,1,0,0,1,0,5,8,471,1,-1,0,0
50,7,1,1,0,5699,1,0,5,8,381,2,-1,0,0
41,4,1,2,0,176,1,1,5,8,42,1,-1,0,0
41,4,1,2,0,517,1,0,5,8,251,1,-1,0,0
39,7,2,3,0,257,1,0,5,8,408,1,-1,0,0
42,5,1,1,0,56,1,0,5,8,215,1,-1,0,0
38,1,1,1,0,-390,1,0,5,8,287,1,-1,0,0
53,5,1,1,0,330,1,0,5,8,216,2,-1,0,0
59,3,0,0,0,195,0,0,5,8,366,2,-1,0,0
36,7,1,1,0,301,1,0,5,8,210,1,-1,0,0
54,1,1,0,0,-41,1,0,5,8,288,1,-1,0,0
40,9,1,2,0,483,1,0,5,8,168,1,-1,0,0
47,11,1,3,0,28,0,0,5,8,338,2,-1,0,0
53,10,1,3,0,13,0,0,5,8,410,3,-1,0,0
46,3,1,0,0,965,0,0,5,8,177,1,-1,0,0
39,4,1,2,0,378,1,1,5,8,127,2,-1,0,0
40,10,1,1,0,219,1,0,5,8,357,1,-1,0,0
28,1,1,0,0,324,1,0,5,8,175,1,-1,0,0
35,2,0,1,0,-69,1,0,5,8,300,1,-1,0,0
55,5,1,1,0,0,0,1,5,8,136,1,-1,0,0
43,9,0,3,0,205,1,0,5,8,1419,1,-1,0,0
48,1,1,0,0,278,1,0,5,8,125,2,-1,0,0
58,4,1,3,0,1065,1,0,5,8,213,3,-1,0,0
33,4,2,2,0,34,1,0,5,8,27,1,-1,0,0
36,1,1,3,0,1033,0,0,5,8,238,2,-1,0,0
53,7,0,1,0,1467,1,0,5,8,124,1,-1,0,0
47,1,1,0,0,-12,1,0,5,8,18,1,-1,0,0
31,7,1,1,0,388,1,0,5,8,730,2,-1,0,0
57,2,1,1,0,294,1,0,5,8,746,2,-1,0,0
53,1,1,3,0,1827,0,0,5,8,121,1,-1,0,0
55,1,1,0,0,627,1,0,5,8,247,1,-1,0,0
45,1,1,0,0,25,1,0,5,8,40,1,-1,0,0
53,0,0,1,0,315,1,0,5,8,181,2,-1,0,0
37,1,1,0,0,0,1,0,5,8,79,1,-1,0,0
44,0,0,1,0,66,1,0,5,8,206,1,-1,0,0
49,1,0,0,0,-9,1,1,5,8,389,1,-1,0,0
46,9,1,1,0,349,1,1,5,8,127,1,-1,0,0
43,2,1,3,0,100,1,0,5,8,702,1,-1,0,0
38,0,1,1,0,0,0,0,5,8,151,1,-1,0,0
43,9,1,1,0,434,1,0,5,8,117,1,-1,0,0
49,4,1,2,0,3237,1,0,5,8,232,3,-1,0,0
42,4,1,3,0,275,0,0,5,8,408,2,-1,0,0
22,1,2,1,0,0,1,0,5,8,179,2,-1,0,0
40,4,1,2,0,207,1,0,5,8,39,1,-1,0,0
39,1,1,1,0,483,1,0,5,8,282,1,-1,0,0
51,7,1,1,0,2248,1,0,5,8,714,2,-1,0,0
49,0,1,1,0,428,1,0,5,8,50,1,-1,0,0
53,1,1,1,0,0,1,1,5,8,181,1,-1,0,0
34,7,2,1,0,0,1,0,5,8,142,1,-1,0,0
33,9,0,1,0,140,1,0,5,8,227,1,-1,0,0
50,4,2,2,0,297,1,0,5,8,119,1,-1,0,0
39,1,1,0,0,279,1,0,5,8,361,1,-1,0,0
59,2,0,1,0,901,1,0,5,8,73,3,-1,0,0
30,9,2,1,0,2573,1,0,5,8,67,2,-1,0,0
36,7,1,1,0,143,1,1,5,8,350,1,-1,0,0
40,1,1,1,0,475,1,0,5,8,332,2,-1,0,0
53,1,1,1,0,70,1,0,5,8,611,2,-1,0,0
34,4,2,2,0,318,1,0,5,8,113,2,-1,0,0
37,9,1,1,0,275,1,0,5,8,132,1,-1,0,0
42,4,0,2,0,742,1,0,5,8,58,3,-1,0,0
41,2,1,0,0,236,1,0,5,8,151,1,-1,0,0
30,8,2,2,0,25,1,0,5,8,89,2,-1,0,0
37,4,2,2,0,600,1,0,5,8,152,1,-1,0,0
39,0,0,1,0,-349,1,0,5,8,611,2,-1,0,0
41,1,1,0,0,183,1,1,5,8,110,2,-1,0,0
40,1,1,0,0,0,1,0,5,8,463,1,-1,0,0
42,4,2,2,0,0,1,1,5,8,562,2,-1,0,1
40,1,0,0,0,0,1,0,5,8,962,1,-1,0,0
57,9,1,1,0,1078,1,0,5,8,10,4,-1,0,0
56,2,0,1,0,155,0,0,5,8,118,3,-1,0,0
37,0,1,1,0,190,1,0,5,8,92,2,-1,0,0
59,5,1,1,0,319,1,0,5,8,143,3,-1,0,0
39,7,0,1,0,-185,1,0,5,8,189,3,-1,0,0
49,7,1,1,0,47,0,0,5,8,234,2,-1,0,0
38,7,2,1,0,570,1,0,5,8,75,2,-1,0,0
36,6,1,2,0,19,0,0,5,8,189,2,-1,0,0
50,1,1,0,0,61,1,0,5,8,621,3,-1,0,0
41,0,1,1,0,-62,1,1,5,8,55,2,-1,0,0
54,9,1,2,0,258,0,0,5,8,310,4,-1,0,0
58,1,1,0,0,76,1,0,5,8,156,2,-1,0,0
30,1,2,1,0,0,1,0,5,8,5,2,-1,0,0
33,0,2,1,0,352,1,0,5,8,225,2,-1,0,0
47,0,1,1,0,368,1,0,5,8,125,2,-1,0,0
50,9,2,2,0,339,1,0,5,8,2,3,-1,0,0
32,1,1,1,0,1331,1,0,5,8,286,2,-1,0,0
40,6,1,1,0,672,1,0,5,8,164,2,-1,0,0
37,4,1,2,0,58,1,0,5,8,98,2,-1,0,0
54,9,2,3,0,447,1,0,5,8,742,2,-1,0,0
24,8,2,1,0,423,1,0,5,8,226,3,-1,0,0
54,4,1,2,0,0,0,0,5,8,120,2,-1,0,0
34,9,1,1,0,19,1,0,5,8,362,4,-1,0,0
56,9,0,0,0,13,1,0,5,8,357,2,-1,0,0
31,1,2,1,0,3,1,0,5,8,200,2,-1,0,0
24,8,2,1,0,82,1,0,5,8,204,2,-1,0,0
42,1,0,0,0,28,1,0,5,8,126,3,-1,0,0
57,9,1,1,0,792,1,0,5,8,65,2,-1,0,0
42,1,1,3,0,408,1,0,5,8,107,2,-1,0,0
51,0,1,1,0,531,1,0,5,8,267,2,-1,0,0
57,5,1,1,0,211,1,0,5,8,248,2,-1,0,0
36,7,2,1,0,62,1,0,5,8,215,2,-1,0,0
53,7,1,3,0,257,1,0,5,8,209,2,-1,0,0
50,9,1,1,0,1234,1,0,5,8,205,2,-1,0,0
54,4,1,2,0,313,1,0,5,8,83,2,-1,0,0
55,1,1,1,0,89,1,0,5,8,106,3,-1,0,0
44,1,1,1,0,129,1,1,5,8,189,2,-1,0,0
43,4,1,3,0,0,1,0,5,8,105,2,-1,0,0
56,0,1,1,0,353,1,0,5,8,106,2,-1,0,0
54,9,1,3,0,851,1,0,5,8,108,2,-1,0,0
55,7,0,0,0,96,1,1,5,8,311,2,-1,0,0
37,7,0,1,0,398,1,1,5,8,214,2,-1,0,0
33,0,2,2,0,193,0,0,5,8,132,2,-1,0,0
46,0,1,1,0,-358,1,0,5,8,358,2,-1,0,0
36,1,1,1,0,539,1,1,5,8,453,2,-1,0,0
51,9,2,1,0,0,1,0,5,8,364,2,-1,0,0
40,5,2,0,0,0,0,0,5,8,136,2,-1,0,0
42,1,1,1,0,490,1,0,5,8,386,2,-1,0,0
51,1,1,1,0,0,1,0,5,8,173,2,-1,0,0
49,1,1,3,0,403,1,0,5,8,241,2,-1,0,0
48,4,1,1,0,161,1,0,5,8,224,3,-1,0,0
32,9,0,2,0,2558,0,0,5,8,148,2,-1,0,0
31,0,2,1,0,98,1,0,5,8,196,2,-1,0,0
55,4,2,2,0,115,0,0,5,8,111,4,-1,0,0
40,1,2,1,0,436,1,0,5,8,231,3,-1,0,0
47,9,1,2,0,831,1,0,5,8,316,3,-1,0,0
57,9,1,3,0,206,1,0,5,8,216,3,-1,0,0
41,1,1,1,0,290,1,0,5,8,240,2,-1,0,0
48,1,1,1,0,1,0,0,5,8,669,3,-1,0,0
42,1,1,3,0,57,1,0,5,8,425,2,-1,0,0
30,1,2,1,0,-457,1,0,5,8,143,2,-1,0,0
58,4,2,2,0,1387,1,0,5,8,174,5,-1,0,0
45,4,0,2,0,24598,1,0,5,8,313,3,-1,0,0
49,1,1,1,0,30,1,0,5,8,135,4,-1,0,0
42,0,2,1,0,1022,1,0,5,8,146,2,-1,0,0
53,9,1,1,0,56,1,1,5,8,152,2,-1,0,0
51,0,2,1,1,-2,0,0,5,8,402,3,-1,0,0
32,7,2,1,0,121,1,0,5,8,213,2,-1,0,0
41,1,2,1,0,842,1,0,5,8,144,3,-1,0,0
43,4,0,1,0,693,1,0,5,8,124,3,-1,0,0
40,1,0,1,0,-333,1,0,5,8,183,2,-1,0,0
50,1,1,0,0,1533,1,0,5,8,325,2,-1,0,0
34,4,1,2,0,46,1,0,5,8,39,4,-1,0,0
53,7,1,3,0,18,0,0,5,8,503,2,-1,0,0
45,9,1,1,0,44,1,0,5,8,95,4,-1,0,0
39,1,1,0,0,-100,1,0,5,8,680,2,-1,0,0
44,7,1,2,0,510,1,0,5,8,421,4,-1,0,0
55,4,1,2,0,685,1,0,5,8,174,3,-1,0,0
46,4,2,2,0,187,1,0,5,8,113,2,-1,0,0
45,1,1,1,0,66,1,0,5,8,808,2,-1,0,0
34,0,1,1,0,560,1,0,5,8,198,3,-1,0,0
36,1,1,1,0,0,1,0,5,8,195,2,-1,0,0
59,11,0,3,0,27,0,0,5,8,347,3,-1,0,0
31,0,2,1,0,12,1,0,5,8,208,2,-1,0,0
44,1,2,1,0,34,1,0,5,8,404,4,-1,0,0
33,2,2,2,0,1068,1,0,5,8,396,2,-1,0,0
40,1,1,1,0,211,1,0,5,8,216,4,-1,0,0
46,0,2,2,0,377,1,0,5,8,98,2,-1,0,0
48,4,1,2,0,263,1,0,5,8,350,2,-1,0,0
42,7,1,1,0,1263,1,0,6,8,114,2,-1,0,0
27,7,1,1,0,8,1,0,6,8,88,3,-1,0,0
48,0,1,1,0,126,1,1,6,8,379,2,-1,0,0
59,0,1,1,0,230,1,0,6,8,190,3,-1,0,0
46,9,1,2,0,841,1,0,6,8,158,1,-1,0,0
38,0,0,1,0,308,1,0,6,8,102,1,-1,0,0
43,4,0,2,0,1,1,0,6,8,306,1,-1,0,0
38,0,0,2,0,86,1,0,6,8,218,1,-1,0,0
23,8,2,1,0,157,1,0,6,8,54,1,-1,0,0
34,7,1,1,0,22,1,0,6,8,344,1,-1,0,0
38,0,1,1,0,46,1,1,6,8,195,1,-1,0,0
37,1,1,1,0,1293,0,0,6,8,652,1,-1,0,0
25,0,2,1,0,122,1,0,6,8,286,1,-1,0,0
48,1,1,3,0,131,1,0,6,8,189,1,-1,0,0
49,1,2,1,0,143,1,0,6,8,83,1,-1,0,0
38,0,2,1,0,393,0,0,6,8,184,2,-1,0,0
43,1,1,0,0,98,1,0,6,8,235,1,-1,0,0
33,4,1,2,0,0,1,0,6,8,290,1,-1,0,0
55,1,1,1,0,224,1,0,6,8,232,1,-1,0,0
38,1,1,1,0,757,1,0,6,8,133,1,-1,0,0
49,7,1,1,0,245,1,1,6,8,318,1,-1,0,0
40,4,1,1,0,8486,0,0,6,8,260,3,-1,0,0
43,0,1,3,0,350,0,0,6,8,437,1,-1,0,0
38,1,1,1,0,20,1,0,6,8,402,1,-1,0,0
58,7,1,1,0,1667,1,1,6,8,85,1,-1,0,0
57,9,1,3,0,345,1,0,6,8,125,1,-1,0,0
32,10,1,1,0,10,1,0,6,8,501,4,-1,0,0
56,4,1,2,0,830,1,1,6,8,1201,1,-1,0,1
58,1,0,3,0,29,1,0,6,8,253,1,-1,0,0
60,5,0,1,0,545,1,0,6,8,1030,1,-1,0,1
37,9,1,2,0,8730,1,0,6,8,149,1,-1,0,0
46,9,0,2,0,477,1,0,6,8,114,1,-1,0,0
27,0,1,1,0,4,1,0,6,8,243,1,-1,0,0
43,1,1,1,0,1205,1,0,6,8,769,2,-1,0,0
32,9,2,1,0,0,1,1,6,8,135,3,-1,0,0
40,0,2,1,0,263,1,0,6,8,231,1,-1,0,0
38,0,1,1,0,1,0,0,6,8,76,1,-1,0,0
34,1,1,1,0,283,0,1,6,8,199,1,-1,0,0
47,1,1,0,0,206,1,0,6,8,152,1,-1,0,0
42,3,1,0,0,17,1,0,6,8,124,1,-1,0,0
48,9,1,1,0,141,1,1,6,8,424,1,-1,0,0
29,6,2,2,0,16,1,0,6,8,43,1,-1,0,0
50,7,1,1,0,206,1,0,6,8,154,1,-1,0,0
52,9,1,3,0,7,0,0,6,8,203,2,-1,0,0
50,4,1,2,0,0,0,0,6,8,326,1,-1,0,0
58,5,1,2,0,0,0,0,6,8,393,1,-1,0,0
46,1,0,0,0,1927,1,0,6,8,241,3,-1,0,0
38,9,1,1,0,284,1,0,6,8,483,1,-1,0,0
46,1,1,1,0,1660,1,0,6,8,259,1,-1,0,0
32,7,2,1,0,406,1,0,6,8,227,1,-1,0,0
51,1,1,0,0,230,1,0,6,8,673,1,-1,0,0
39,0,2,1,0,-25,1,0,6,8,576,1,-1,0,0
48,0,1,1,0,182,1,0,6,8,180,2,-1,0,0
36,2,1,2,0,1169,1,0,6,8,168,2,-1,0,0
34,0,0,1,0,67,1,0,6,8,90,1,-1,0,0
40,9,1,1,0,77,0,0,6,8,505,1,-1,0,0
43,10,1,1,0,0,1,0,6,8,245,1,-1,0,0
52,1,0,0,0,55,1,1,6,8,186,1,-1,0,0
33,9,1,1,1,72,1,0,6,8,623,1,-1,0,0
49,4,2,2,0,163,1,0,6,8,496,3,-1,0,0
32,4,2,2,0,151,1,0,6,8,118,1,-1,0,0
39,0,2,1,0,113,1,0,6,8,342,1,-1,0,0
40,1,1,1,0,0,1,0,6,8,225,1,-1,0,0
38,9,2,2,0,9,1,0,6,8,185,3,-1,0,0
43,4,1,1,0,375,1,0,6,8,196,2,-1,0,0
39,7,1,1,0,1142,1,0,6,8,276,1,-1,0,0
54,1,1,0,0,2102,1,0,6,8,76,1,-1,0,0
38,9,2,2,0,4325,1,0,6,8,87,1,-1,0,0
40,1,1,1,0,217,1,0,6,8,195,1,-1,0,0
55,0,1,1,0,131,1,0,6,8,744,1,-1,0,0
42,4,1,2,0,1680,1,0,6,8,765,1,-1,0,0
39,1,1,1,0,0,1,0,6,8,262,1,-1,0,0
40,1,1,0,0,46,1,0,6,8,119,1,-1,0,0
32,1,1,1,0,320,1,0,6,8,198,2,-1,0,0
55,0,1,1,0,183,1,0,6,8,150,1,-1,0,0
45,1,1,1,0,39,0,0,6,8,241,1,-1,0,0
35,4,2,2,0,560,1,0,6,8,181,1,-1,0,0
58,9,0,1,0,469,0,0,6,8,196,1,-1,0,0
35,0,1,1,0,530,1,0,6,8,149,1,-1,0,0
49,7,1,0,0,61,1,0,6,8,246,1,-1,0,0
34,9,2,2,0,242,1,0,6,8,112,1,-1,0,0
36,1,1,1,0,139,1,0,6,8,309,2,-1,0,0
24,6,2,1,0,0,1,0,6,8,278,1,-1,0,0
34,9,1,1,0,367,1,0,6,8,140,1,-1,0,0
